,track_id,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,463CkQjx2Zk1yXoBuierM9,Levitating,0.702,0.825,-3.787,0.0601,0.00883,0,0.0674,0.915,102.977
1,0tgVpDi06FyKpA1z0VMD4v,perfect,0.599,0.448,-6.312,0.0232,0.163,0,0.106,0.168,95.05
2,543bCW2ruMPmxUBWirQ3MR,cross me,0.746,0.787,-6.373,0.12,0.214,0,0.0669,0.607,95.005
